open,high,low,close,volume
2014-01-14,2007.16,2027.43,2001.14,2026.84,70366614.0
2014-01-15,2024.23,2027.41,2010.2,2023.35,67436222.0
2014-01-16,2022.54,2034.71,2014.41,2023.7,72755719.0
2014-01-17,2017.52,2017.87,2001.33,2004.95,67305720.0
2014-01-20,2001.89,2005.94,1984.82,1991.25,56271247.0
2014-01-21,1992.02,2014.15,1992.02,2008.31,59844911.0
2014-01-22,2009.97,2052.34,2008.93,2051.75,98892856.0
2014-01-23,2048.33,2052.53,2039.05,2042.18,84210585.0
2014-01-24,2037.67,2060.99,2034.45,2054.39,92947921.0
2014-01-27,2044.27,2044.85,2029.63,2033.3,88815426.0
2014-01-28,2036.4,2047.13,2026.99,2038.51,72529043.0
2014-01-29,2042.18,2051.58,2039.77,2049.91,73865462.0
2014-01-30,2045.93,2045.93,2031.47,2033.08,62615184.0
2014-02-07,2022.32,2044.73,2014.7,2044.5,73598755.0
2014-02-10,2049.98,2087.98,2049.98,2086.07,124331833.0
2014-02-11,2086.18,2111.06,2082.52,2103.67,142211324.0
2014-02-12,2103.83,2110.9,2096.51,2109.96,126333186.0
2014-02-13,2106.93,2122.83,2096.97,2098.4,146532634.0
2014-02-14,2097.32,2116.19,2095.09,2115.85,111517950.0
2014-02-17,2124.88,2136.45,2117.69,2135.42,140244443.0
2014-02-18,2134.14,2134.14,2113.13,2119.07,142869308.0
2014-02-19,2116.92,2152.96,2111.17,2142.55,151261246.0
2014-02-20,2152.89,2177.98,2136.48,2138.78,157052276.0
2014-02-21,2131.59,2132.7,2098.33,2113.69,117662651.0
2014-02-24,2099.72,2099.72,2058.79,2076.69,123555308.0
2014-02-25,2077.28,2087.62,2026.54,2034.22,140132978.0
2014-02-26,2026.61,2041.63,2014.38,2041.25,110112687.0
2014-02-27,2045.1,2068.31,2036.39,2047.35,132163852.0
2014-02-28,2040.62,2058.49,2020.94,2056.3,111637907.0
2014-03-03,2052.07,2078.33,2047.07,2075.24,127460891.0
2014-03-04,2068.11,2074.02,2050.12,2071.47,115925792.0
2014-03-05,2073.29,2074.81,2050.18,2053.08,107733082.0
2014-03-06,2050.03,2065.79,2030.95,2059.58,109290133.0
2014-03-07,2058.38,2079.49,2050.47,2057.91,103709540.0
2014-03-10,2042.35,2042.63,1995.55,1999.06,115696666.0
2014-03-11,1994.42,2008.07,1985.6,2001.16,92705265.0
2014-03-12,1996.24,2011.06,1974.38,1997.69,101361719.0
2014-03-13,2000.69,2029.12,1996.53,2019.11,100978116.0
2014-03-14,2008.82,2017.91,1990.98,2004.34,87775111.0
2014-03-17,2009.88,2024.37,1999.25,2023.67,86250374.0
2014-03-18,2026.22,2034.92,2020.41,2025.2,96777193.0
2014-03-19,2019.98,2022.18,2002.44,2021.73,95180797.0
2014-03-20,2017.22,2030.85,1993.0,1993.48,110333048.0
2014-03-21,1987.68,2052.47,1986.07,2047.62,144477656.0
2014-03-24,2050.83,2074.06,2043.33,2066.28,147700085.0
2014-03-25,2063.32,2079.55,2057.49,2067.31,131822232.0
2014-03-26,2070.57,2074.57,2057.65,2063.67,102611116.0
2014-03-27,2060.81,2073.98,2042.71,2046.59,119149374.0
2014-03-28,2046.85,2060.13,2035.24,2041.71,121681965.0
2014-03-31,2043.05,2048.13,2024.19,2033.31,94356536.0
2014-04-01,2031.01,2050.68,2028.1,2047.46,83286576.0
2014-04-02,2049.42,2060.78,2046.74,2058.99,102658525.0
2014-04-03,2063.5,2066.01,2037.45,2043.7,108618421.0
2014-04-04,2037.55,2060.1,2035.22,2058.83,83189056.0
2014-04-08,2054.53,2102.45,2052.9,2098.28,133370983.0
2014-04-09,2100.65,2108.75,2095.64,2105.24,105340471.0
2014-04-10,2105.88,2146.67,2098.08,2134.3,156789609.0
2014-04-11,2130.37,2138.65,2120.18,2130.54,131768359.0
2014-04-14,2127.41,2134.43,2116.61,2131.54,102077853.0
2014-04-15,2125.9,2125.9,2098.15,2101.6,107531151.0
2014-04-16,2097.21,2112.05,2092.16,2105.12,89361657.0
2014-04-17,2108.95,2110.72,2095.71,2098.89,89896325.0
2014-04-18,2091.48,2099.64,2081.19,2097.75,88155695.0
2014-04-21,2085.98,2103.08,2065.23,2065.83,96378369.0
2014-04-22,2062.79,2073.66,2047.33,2072.83,98719882.0
2014-04-23,2068.08,2076.35,2059.11,2066.36,72925682.0
2014-04-24,2064.16,2075.76,2056.19,2057.03,78185955.0
2014-04-25,2060.54,2065.64,2035.57,2036.52,93042333.0
2014-04-28,2033.34,2035.99,2000.14,2003.49,89795262.0
2014-04-29,2001.9,2021.68,1997.64,2020.34,76221275.0
2014-04-30,2020.44,2029.54,2016.58,2026.36,74528578.0
2014-05-05,2022.18,2028.96,2007.35,2027.35,79933395.0
2014-05-06,2024.26,2038.7,2021.48,2028.04,74609411.0
2014-05-07,2023.15,2024.63,2008.45,2010.08,74360192.0
2014-05-08,2006.85,2036.94,2005.69,2015.27,77865393.0
2014-05-09,2016.5,2020.45,2001.3,2011.14,76224244.0
2014-05-12,2022.93,2055.51,2016.64,2052.87,115742077.0
2014-05-13,2055.08,2061.06,2043.55,2050.73,97223388.0
2014-05-14,2049.27,2056.57,2042.74,2047.91,72011125.0
2014-05-15,2044.38,2047.32,2022.86,2024.97,75845154.0
2014-05-16,2023.6,2027.76,2012.69,2026.5,66353660.0
2014-05-19,2023.01,2023.27,1996.02,2005.18,65329438.0
2014-05-20,2011.85,2018.16,2002.76,2008.12,61345382.0
2014-05-21,2001.31,2025.19,1991.06,2024.95,61811547.0
2014-05-22,2023.15,2041.96,2018.88,2021.29,74728474.0
2014-05-23,2020.11,2034.57,2017.74,2034.57,63488065.0
2014-05-26,2042.03,2045.38,2035.09,2041.48,70281220.0
2014-05-27,2039.79,2044.15,2032.84,2034.56,67577889.0
2014-05-28,2034.56,2052.66,2029.34,2050.23,81338642.0
2014-05-29,2051.84,2057.08,2039.24,2040.59,81242921.0
2014-05-30,2040.39,2046.96,2031.37,2039.21,75148898.0
2014-06-03,2039.2,2049.58,2037.3,2038.31,71584124.0
2014-06-04,2037.99,2038.48,2012.91,2024.83,72412771.0
2014-06-05,2019.44,2041.7,2016.18,2040.88,67949536.0
2014-06-06,2040.86,2041.57,2022.16,2029.96,66021744.0
2014-06-09,2024.94,2045.26,2023.2,2030.5,64788317.0
2014-06-10,2033.21,2052.76,2026.39,2052.53,79623717.0
2014-06-11,2049.13,2056.63,2045.41,2054.95,74444354.0
2014-06-12,2051.58,2057.1,2045.96,2051.71,81711186.0
2014-06-13,2049.21,2073.6,2048.62,2070.72,97174806.0
2014-06-16,2070.7,2087.32,2069.44,2085.98,95939770.0
2014-06-17,2080.48,2080.48,2064.67,2066.7,87800481.0
2014-06-18,2064.38,2066.91,2051.75,2055.52,87245350.0
2014-06-19,2054.62,2059.25,2017.65,2023.73,92914274.0
2014-06-20,2013.41,2027.15,2010.53,2026.67,67167246.0
2014-06-23,2026.23,2033.32,2022.92,2024.36,70485162.0
2014-06-24,2023.7,2034.71,2021.75,2033.93,71214634.0
2014-06-25,2030.43,2030.62,2018.36,2025.5,67539610.0
2014-06-26,2025.66,2040.75,2025.31,2038.68,80955778.0
2014-06-27,2031.91,2043.98,2025.07,2036.51,97592017.0
2014-06-30,2038.61,2052.34,2038.53,2048.33,96666598.0
2014-07-01,2051.23,2052.64,2041.94,2050.38,98457409.0
2014-07-02,2049.49,2060.59,2044.04,2059.42,109553911.0
2014-07-03,2051.63,2066.64,2048.08,2063.23,122926582.0
2014-07-04,2062.36,2065.08,2054.22,2059.38,105008792.0
2014-07-07,2058.13,2064.04,2050.89,2059.93,97168754.0
2014-07-08,2058.13,2064.43,2047.2,2064.02,95053393.0
2014-07-09,2061.64,2062.47,2037.6,2038.61,113305841.0
2014-07-10,2036.54,2045.53,2034.96,2038.34,97943819.0
2014-07-11,2033.87,2051.74,2033.0,2046.96,105088083.0
2014-07-14,2047.74,2067.34,2044.9,2066.65,115119740.0
